run,lead_plates,lead_thickness_mm,radiation_lengths,mass_thickness_g_cm2,n_total,n_up,n_down,n_coin,r_coin_per_hour,r_coin_hz,sigma_r_coin_per_hour,sigma_r_coin_hz,up_fraction,down_fraction,coin_fraction,coin_over_up,sigma_coin_over_up,coin_over_down,sigma_coin_over_down,r_coin_times_coin_over_up,sigma_r_coin_times_coin_over_up,r_coin_times_coin_over_down,sigma_r_coin_times_coin_over_down,transmission,sigma_transmission,blocking,sigma_blocking,area_mean,area2_mean,area_median,area2_median
5181,0,0.0,0.0,0.0,13298,7064,6266,3357,3357,0.9325,80.54441321407711,0.022373448115021417,0.5312077004060761,0.4711986764927057,0.25244397653782524,0.47522650056625143,0.005941702839581512,0.535748483881264,0.006300310383786225,1595.335362400906,43.162150011062266,1798.507660389403,48.05605618633021,1.0,0.033931189020175924,0.0,0.033931189020175924,36.1156005859375,34.739654541015625,36.240234375,0.98876953125
5182,10,5.0,0.8928571343421936,5.670000076293945,12638,7040,5631,3136,3136,0.8711111111111111,76.60159557375059,0.021278220992708492,0.5570501661655325,0.44556100648836844,0.2481405285646463,0.44545454545454544,0.005923575698921767,0.5569170662404547,0.006619802170738625,1396.9454545454546,38.851346738144876,1746.4919197300658,47.44368781298462,0.9341674113792077,0.031985080801466156,0.06583258862079233,0.031985080801466156,37.79119110107422,33.02101135253906,37.6513671875,0.6689453125
5183,20,10.0,1.7857142686843872,11.34000015258789,12632,7224,5446,3119,3119,0.8663888888888889,76.29722763275508,0.021193674342431964,0.5718809373020899,0.4311272957568081,0.24691260291323622,0.4317552602436323,0.005827706376736319,0.5727139184722733,0.006703311842281198,1346.644656699889,37.62375459907322,1786.2947117150204,48.440806237876735,0.9291033661006851,0.03183526491263771,0.07089663389931489,0.03183526491263771,38.832305908203125,32.275428771972656,38.30810546875,0.61279296875
5184,30,15.0,2.6785714626312256,17.010000228881836,12497,7220,5313,3046,3046,0.8461111111111111,74.98836206001866,0.020830100572227405,0.5777386572777466,0.4251420340881812,0.24373849723933744,0.4218836565096953,0.005812130748164061,0.5733107472237907,0.006785486420516459,1285.0576177285318,36.25303193544241,1746.3045360436665,47.701900008450586,0.9073577599046768,0.03119173426280163,0.09264224009532318,0.03119173426280163,39.51533508300781,32.311824798583984,38.544921875,0.576171875
