run,lead_plates,lead_thickness_mm,quantity,count,mean,median,std,p10,p90
5181,0,0.0,area,13298,36.1156005859375,36.240234375,44.09062576293945,-1.435546875,92.0668716430664
5181,0,0.0,area2,13298,34.739654541015625,0.98876953125,45.34549331665039,-1.1572265625,95.642578125
5181,0,0.0,area_coin,3357,68.47000885009766,54.970703125,38.05958938598633,37.8642578125,114.7958755493164
5181,0,0.0,area2_coin,3357,74.52473449707031,60.2685546875,38.552001953125,41.853515625,126.31735229492188
5182,10,5.0,area,12638,37.79119110107422,37.6513671875,44.17967987060547,-1.3623046875,94.55321502685547
5182,10,5.0,area2,12638,33.02101135253906,0.6689453125,45.75969314575195,-1.1538082361221313,94.02490234375
5182,10,5.0,area_coin,3136,67.97412109375,54.41650390625,37.45542526245117,37.51953125,116.1669921875
5182,10,5.0,area2_coin,3136,73.96649932861328,58.955078125,39.89647674560547,41.1181640625,121.98486328125
5183,20,10.0,area,12632,38.832305908203125,38.30810546875,44.53231430053711,-1.3715821504592896,94.24217987060547
5183,20,10.0,area2,12632,32.275428771972656,0.61279296875,46.099910736083984,-1.19140625,95.1576919555664
5183,20,10.0,area_coin,3119,67.53558349609375,54.3994140625,37.326568603515625,37.2509765625,115.2646484375
5183,20,10.0,area2_coin,3119,75.15453338623047,59.74609375,40.73637390136719,41.3251953125,127.21090698242188
5184,30,15.0,area,12497,39.51533508300781,38.544921875,44.93711853027344,-1.337890625,95.87792205810547
5184,30,15.0,area2,12497,32.311824798583984,0.576171875,46.72117614746094,-1.2158203125,94.17477416992188
5184,30,15.0,area_coin,3046,68.99036407470703,54.56787109375,38.55502700805664,37.28515625,119.50927734375
5184,30,15.0,area2_coin,3046,76.83076477050781,60.46142578125,42.90797805786133,41.2548828125,132.33154296875
