run,lead_plates,lead_thickness_mm,baseline_area2_threshold,new_area2_threshold,recovered_down_events,recovered_coin_events,relative_down_increase_vs_30,relative_coin_increase_vs_30,coin_over_up_increase_vs_30
51811,0,0.0,30.0,25.0,1,0,0.00039761431411533543,0.0,0.0
51811,0,0.0,30.0,20.0,3,0,0.0011928429423460063,0.0,0.0
5185,40,20.0,30.0,25.0,1,1,0.0005005005005005447,0.0006565988181221893,0.00015260186174270718
5185,40,20.0,30.0,20.0,2,2,0.0010010010010010895,0.0013131976362441566,0.00030520372348541436
5186,50,25.0,30.0,25.0,0,0,0.0,0.0,0.0
5186,50,25.0,30.0,20.0,1,1,0.000494071146245112,0.0006333122229258414,0.00014617745943576455
5187,60,30.0,30.0,25.0,1,1,0.0004599816007360147,0.0005927682276229973,0.0001367801942278868
5187,60,30.0,30.0,20.0,1,1,0.0004599816007360147,0.0005927682276229973,0.0001367801942278868
