run,week,lead_plates,lead_thickness_mm,n_events,area2_mean,area2_std,area2_sem,area2_trimmed_mean_5pct,area2_median,area2_q05,area2_q25,area2_q75,area2_q95,area2_pass_count_gt30,area2_pass_fraction_gt30
5181,1,0,0.0,13298,34.73965260870995,45.34549109856728,0.3932248409344421,29.759502516055765,0.98876953125,-1.4990234375,-0.4345703125,58.33984375,121.28369140624999,6266,0.4711986764927057
51811,2,0,0.0,9324,17.714826468488578,34.70399963798775,0.3594002689060363,12.857937735529374,-0.05859375,-1.7138671875,-0.791015625,40.2197265625,83.82153320312501,2515,0.2697340197340197
5185,2,40,20.0,10957,10.094413816509993,32.47578452303128,0.3102514503329969,5.824511629638548,-0.3955078125,-15.7919921875,-1.40625,0.76171875,72.89648437499989,1998,0.18234918317057588
5186,2,50,25.0,8926,15.04819684944264,35.04919615063827,0.3709792515283317,10.278528777111338,-0.126953125,-1.845703125,-0.8251953125,1.35986328125,80.535888671875,2024,0.22675330495182613
5187,2,60,30.0,9464,15.691548441792582,34.19354405023873,0.35148496339438434,10.5709749299278,-0.1318359375,-1.7521972656249998,-0.80078125,1.324462890625,83.07226562500003,2174,0.22971259509721048
