reference_run,run,lead_plates,lead_thickness_mm,delta_mean_vs_5181,mean_ratio_vs_5181,delta_median_vs_5181,median_ratio_vs_5181,delta_q25_vs_5181,delta_q75_vs_5181,delta_pass_fraction_gt30_vs_5181,pass_fraction_ratio_vs_5181,ks_statistic_vs_5181,ks_pvalue_vs_5181
5181,51811,0,0.0,-17.024826140221375,0.5099310194036627,-1.04736328125,-0.05925925925925926,-0.3564453125,-18.1201171875,-0.20146465675868597,0.5724422270065423,0.20208355875373474,1.0668422238180878e-196
5181,5185,40,20.0,-24.64523879219996,0.29057325155805136,-1.38427734375,-0.4,-0.9716796875,-57.578125,-0.28884949332212984,0.38699001560841334,0.2889407591795725,0.0
5181,5186,50,25.0,-19.691455759267313,0.43317061972202175,-1.11572265625,-0.12839506172839507,-0.390625,-56.97998046875,-0.24444537154087956,0.4812265319580887,0.24495946635909827,1.078723999147746e-282
5181,5187,60,30.0,-19.04810416691737,0.4516898490187661,-1.12060546875,-0.13333333333333333,-0.3662109375,-57.015380859375,-0.2414860813954952,0.4875068767319989,0.24223149503411423,4.564065793571509e-286
