run,lead_plates,lead_thickness_mm,radiation_lengths,mass_thickness_g_cm2,n_total,n_up,n_down,n_coin,r_coin_per_hour,r_coin_hz,sigma_r_coin_per_hour,sigma_r_coin_hz,up_fraction,down_fraction,coin_fraction,coin_over_up,sigma_coin_over_up,coin_over_down,sigma_coin_over_down,transmission,sigma_transmission,blocking,sigma_blocking,area_mean,area2_mean,area_median,area2_median
51811,0,0.0,0.0,0.0,9324,6852,2515,1831,1831,0.5086111111111111,52.55727299284509,0.014599242498012525,0.7348777348777349,0.2697340197340197,0.19637494637494637,0.26722124927028607,0.005345806705253649,0.7280318091451292,0.008872892890020318,1.0,0.0405937784095176,0.0,0.0405937784095176,49.064361572265625,17.714826583862305,44.75830078125,-0.05859375
5185,40,20.0,3.5714285373687744,22.68000030517578,10957,6553,1998,1523,1523,0.4230555555555556,46.55441559198344,0.01293178210888429,0.5980651638222141,0.18234918317057588,0.13899790088527883,0.2324126354341523,0.005217634970373934,0.7622622622622622,0.009523652285199706,0.831785909339159,0.03487855976575892,0.16821409066084103,0.03487855976575892,41.281776428222656,10.094412803649902,40.2294921875,-0.3955078125
5186,50,25.0,4.464285850524902,28.350000381469727,8926,6841,2024,1579,1579,0.4386111111111111,47.660958282901156,0.013239155078583654,0.7664127268653372,0.22675330495182613,0.17689894689670624,0.23081420844905715,0.005094330316933562,0.7801383399209486,0.009205668002524052,0.8623702894593118,0.03592077564651367,0.13762971054068818,0.03592077564651367,52.40110397338867,15.048196792602539,46.416015625,-0.126953125
5187,60,30.0,5.357142925262451,34.02000045776367,9464,7311,2174,1687,1687,0.4686111111111111,49.77496302805703,0.01382637861890473,0.7725063398140322,0.22971259509721048,0.17825443786982248,0.23074818766242647,0.0049273682577345825,0.7759889604415824,0.008941959783113646,0.9213544511196068,0.03792661819913598,0.07864554888039321,0.03792661819913598,51.917205810546875,15.691548347473145,46.5576171875,-0.1318359375
