week,run,lead_plates,lead_thickness_mm,r_coin_per_hour,coin_over_up,r_coin_up_normalized_to_week1,coin_up_normalized_transmission_to_week1,coin_up_normalized_blocking_to_week1,coin_over_down,area_mean,area2_mean
1,5181,0,0.0,3357,0.4752265005662514,3356.9999999999995,0.9999999999999999,1.1102230246251565e-16,0.535748483881264,36.1156005859375,34.739654541015625
2,51811,0,0.0,1831,0.267221249270286,1887.6509048453004,0.5623029207165029,0.4376970792834971,0.7280318091451292,49.064361572265625,17.714826583862305
1,5182,10,5.0,3136,0.4454545454545454,3146.6909090909085,0.9373520730089093,0.06264792699109067,0.5569170662404547,37.79119110107422,33.02101135253906
1,5183,20,10.0,3119,0.4317552602436323,3049.9191583610186,0.9085252184572591,0.09147478154274091,0.5727139184722733,38.832305908203125,32.275428771972656
1,5184,30,15.0,3046,0.4218836565096953,2980.1861495844873,0.887752799995379,0.11224720000462096,0.5733107472237907,39.51533508300781,32.311824798583984
2,5185,40,20.0,1523,0.2324126354341523,1641.7628567068518,0.4890565554682311,0.5109434445317689,0.7622622622622622,41.281776428222656,10.094412803649902
2,5186,50,25.0,1579,0.2308142084490571,1630.4715684841392,0.4856930498910155,0.5143069501089845,0.7801383399209486,52.40110397338867,15.04819679260254
2,5187,60,30.0,1687,0.2307481876624264,1630.00519764738,0.48555412500666667,0.5144458749933334,0.7759889604415824,51.91720581054688,15.691548347473145
