baseline,run,n_total,n_up,n_down,n_coin,r_coin_per_hour,up_fraction,down_fraction,coin_fraction,coin_over_up,coin_over_down,area_mean,area2_mean,area_median,area2_median
week1_baseline,5181,13298.0,7064.0,6266.0,3357.0,3357.0,0.5312077004060761,0.4711986764927057,0.2524439765378252,0.4752265005662514,0.535748483881264,36.1156005859375,34.739654541015625,36.240234375,0.98876953125
week2_baseline,51811,9324.0,6852.0,2515.0,1831.0,1831.0,0.7348777348777349,0.2697340197340197,0.1963749463749463,0.267221249270286,0.7280318091451292,49.064361572265625,17.714826583862305,44.75830078125,-0.05859375
week2_over_week1,51811/5181,0.7011580688825387,0.9699886749716874,0.4013724864347271,0.5454274649985106,0.5454274649985106,1.3834094165351243,0.5724422270065423,0.7778951554644136,0.562302920716503,1.3589059624972832,1.358536498805174,0.5099309943611318,1.2350444624090542,-0.05925925925925926
